132	25	42221	ENSG00000002726	ENSG00000245864	-1.0
133	25	47628	ENSG00000002726	ENSG00000254762	-1.0
134	26	18989	ENSG00000002745	ENSG00000200320	-1.0
135	26	34499	ENSG00000002745	ENSG00000233138	1.0
136	26	37248	ENSG00000002745	ENSG00000236472	-1.0
137	26	42221	ENSG00000002745	ENSG00000245864	-1.0
138	26	47628	ENSG00000002745	ENSG00000254762	-1.0
139	27	18989	ENSG00000002746	ENSG00000200320	-1.0
140	27	34499	ENSG00000002746	ENSG00000233138	-1.0
141	27	37248	ENSG00000002746	ENSG00000236472	1.0
142	27	42221	ENSG00000002746	ENSG00000245864	1.0
143	27	47628	ENSG00000002746	ENSG00000254762	-1.0
144	28	18989	ENSG00000002822	ENSG00000200320	-1.0
145	28	34499	ENSG00000002822	ENSG00000233138	1.0
146	28	37248	ENSG00000002822	ENSG00000236472	1.0
147	28	42221	ENSG00000002822	ENSG00000245864	-1.0
148	28	47628	ENSG00000002822	ENSG00000254762	1.0
149	29	18989	ENSG00000002834	ENSG00000200320	-1.0
150	29	34499	ENSG00000002834	ENSG00000233138	-1.0
151	29	37248	ENSG00000002834	ENSG00000236472	-1.0
152	29	42221	ENSG00000002834	ENSG00000245864	1.0
153	29	47628	ENSG00000002834	ENSG00000254762	1.0
154	30	18989	ENSG00000002919	ENSG00000200320	1.0
155	30	34499	ENSG00000002919	ENSG00000233138	1.0
156	30	37248	ENSG00000002919	ENSG00000236472	-1.0
157	30	42221	ENSG00000002919	ENSG00000245864	1.0
158	30	47628	ENSG00000002919	ENSG00000254762	1.0
159	31	18989	ENSG00000002933	ENSG00000200320	1.0
160	31	34499	ENSG00000002933	ENSG00000233138	-1.0
161	31	37248	ENSG00000002933	ENSG00000236472	-1.0
162	31	42221	ENSG00000002933	ENSG00000245864	-1.0
163	31	47628	ENSG00000002933	ENSG00000254762	1.0
164	32	18989	ENSG00000003056	ENSG00000200320	1.0
165	32	34499	ENSG00000003056	ENSG00000233138	-1.0
166	32	37248	ENSG00000003056	ENSG00000236472	-1.0
167	32	42221	ENSG00000003056	ENSG00000245864	-1.0
168	32	47628	ENSG00000003056	ENSG00000254762	-1.0
169	33	18989	ENSG00000003096	ENSG00000200320	-1.0
170	33	34499	ENSG00000003096	ENSG00000233138	1.0
171	33	37248	ENSG00000003096	ENSG00000236472	-1.0
172	33	42221	ENSG00000003096	ENSG00000245864	1.0
173	33	47628	ENSG00000003096	ENSG00000254762	1.0
174	34	18989	ENSG00000003137	ENSG00000200320	-1.0
